"filename", "language", "JSON", "JSON with Comments", "Log", "JavaScript", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\prisma\seed.ts", "TypeScript", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 18, 16, 188
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\app.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\app.service.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 20
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\main.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 5, 9, 55
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\contracts\simulation-input.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 12, 12, 64
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\gateways\admin.gateway.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 20, 85
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\gateways\player.gateway.ts", "TypeScript", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 3, 36, 203
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\gateways\round.gateway.ts", "TypeScript", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 19, 45, 220
